lemon,partOfSpeech,writtenForm (singular),SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue
golfcourse_of,noun,Golf Course,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GolfCourse
golfplayer_of,noun,Golf Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GolfPlayer
golftournament_of,noun,Golf Tournament,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GolfTournament
governmentagency_of,noun,Government Agency,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GovernmentAgency
governor_of,noun,Governor,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Governor
grandprix_of,noun,Grand Prix,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GrandPrix
grape_of,noun,grape,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Grape
greenalga_of,noun,Green Alga,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GreenAlga
guitarist_of,noun,Guitarist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Guitarist
gymnast_of,noun,Gymnast,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Gymnast
handballplayer_of,noun,Handball Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:HandballPlayer
handballteam_of,noun,Handball Team,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:HandballTeam
historian_of,noun,Historian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Historian
historicbuilding_of,noun,Historic Building,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:HistoricBuilding
